exp_parameters,dl_capacity,ul_capacity,dl_delay,ul_delay,id,inc,inp,mad,mnp,mps,p,ptc,sdt,timeout,tmp,dl_stable_throughput,dl_stable_responsiveness,dl_throughput,dl_connections,dl_max_path_mtu,dl_max_send_mss,dl_max_recv_mss,dl_retransmissions,dl_reorder,dl_avg_rtt,dl_rpm_p,dl_rpm_trimmed,ul_stable_throughput,ul_stable_responsiveness,ul_throughput,ul_connections,ul_max_path_mtu,ul_max_send_mss,ul_max_recv_mss,ul_retransmissions,ul_reorder,ul_avg_rtt,ul_rpm_p,ul_rpm_trimmed,final_rpm_p,final_rpm_trimmed,ub_base_rpm_p,ub_base_rpm_trimmed,base_rpm_p,base_rpm_trimmed,wc_effect_p,wc_effect_trimmed,iteration
VDSL,100,40,5,5,1,1,1,4,16,100,90,0.05,5,20,5,True,True,88.992,16,1500,1448,1448,0,48,15080.25,363,752,True,False,34.717,16,1500,1448,1425,365,48,23903.3125,67,577,45,689,5453,5567,5453,5566,1,12,121
VDSL,100,40,5,5,1,1,1,4,16,100,90,0.05,5,20,5,True,False,88.985,16,1500,1448,1448,0,48,15291.4375,343,714,True,False,34.999,16,1500,1448,1425,305,48,24031,60,485,81,756,5445,5558,5439,5558,1,14,117
VDSL,100,40,5,5,1,1,1,4,16,100,90,0.05,5,20,5,True,True,88.874,10,1500,1448,1448,0,33,14080.727272727272,515,977,True,False,34.989,16,1500,1448,1424,313,48,24598.5,49,458,54,862,5433,5561,5433,5563,1,15,79
VDSL,100,40,5,5,1,1,1,4,16,100,90,0.05,5,20,5,True,True,88.862,16,1500,1448,1448,0,48,15356.875,338,700,False,False,34.874,16,1500,1448,1425,784,48,23797.0625,58,374,66,629,5458,5568,5458,5570,1,11,188
VDSL,100,40,5,5,1,1,1,4,16,100,90,0.05,5,20,5,True,True,88.870,16,1500,1448,1448,0,48,15332.8125,340,713,True,False,34.984,16,1500,1448,1424,246,48,23704.5,48,500,43,666,5446,5562,5443,5561,1,12,50
VDSL,100,40,5,5,1,1,1,4,16,100,90,0.05,5,20,5,True,True,88.873,13,1500,1448,1448,0,42,14791.92857142857,407,816,True,False,35.868,16,1500,1448,1424,398,48,23851.75,63,595,83,766,5456,5572,5451,5574,2,14,23
VDSL,100,40,5,5,1,1,1,4,16,100,90,0.05,5,20,5,True,True,89.122,15,1500,1448,1448,0,48,15322.9375,392,802,True,False,35.737,16,1500,1448,1424,309,48,23192,94,428,127,753,5442,5570,5440,5563,2,14,133
VDSL,100,40,5,5,1,1,1,4,16,100,90,0.05,5,20,5,True,True,88.988,16,1500,1448,1448,0,48,15443.75,327,709,True,False,34.736,16,1500,1448,1424,455,48,23198.75,118,471,183,686,5448,5560,5446,5564,3,12,68
VDSL,100,40,5,5,1,1,1,4,16,100,90,0.05,5,20,5,True,True,88.871,16,1500,1448,1448,0,48,15316.5,334,710,True,False,36.246,16,1500,1448,1425,261,48,23412.75,78,480,55,682,5436,5553,5436,5555,1,12,144
VDSL,100,40,5,5,1,1,1,4,16,100,90,0.05,5,20,5,True,True,88.742,15,1500,1448,1448,0,48,16033.0625,321,673,True,False,35.727,16,1500,1448,1424,212,48,24233.8125,80,426,101,641,5450,5565,5449,5568,2,12,139
