exp_parameters,dl_capacity,ul_capacity,dl_delay,ul_delay,id,inc,inp,mad,mnp,mps,p,ptc,sdt,timeout,tmp,dl_stable_throughput,dl_stable_responsiveness,dl_throughput,dl_connections,dl_max_path_mtu,dl_max_send_mss,dl_max_recv_mss,dl_retransmissions,dl_reorder,dl_avg_rtt,dl_rpm_p,dl_rpm_trimmed,ul_stable_throughput,ul_stable_responsiveness,ul_throughput,ul_connections,ul_max_path_mtu,ul_max_send_mss,ul_max_recv_mss,ul_retransmissions,ul_reorder,ul_avg_rtt,ul_rpm_p,ul_rpm_trimmed,final_rpm_p,final_rpm_trimmed,ub_base_rpm_p,ub_base_rpm_trimmed,base_rpm_p,base_rpm_trimmed,wc_effect_p,wc_effect_trimmed,iteration
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,89.239,16,1500,1448,1448,0,48,14436.5625,387,808,True,False,35.249,16,1500,1448,1425,738,48,23316.3125,57,430,67,722,5450,5563,5447,5566,1,13,79
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.867,16,1500,1448,1448,0,48,14219.375,389,825,True,False,35.854,16,1500,1448,1425,652,48,24364.9375,63,398,79,730,5447,5562,5443,5564,1,13,50
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.866,16,1500,1448,1448,0,48,14258.5625,397,890,True,False,35.366,16,1500,1448,1424,628,48,24162.1875,70,406,85,782,5457,5564,5453,5564,2,14,23
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,89.109,16,1500,1448,1448,0,48,14275.375,407,803,True,False,35.471,16,1500,1448,1424,672,48,23473.75,51,358,64,707,5444,5569,5435,5567,1,13,68
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.866,16,1500,1448,1448,0,48,14278.4375,384,810,True,False,35.748,16,1500,1448,1425,609,48,23753.375,49,397,62,733,5439,5560,5441,5564,1,13,92
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.992,16,1500,1448,1448,0,48,14302.75,408,775,True,False,35.250,16,1500,1448,1425,571,48,23490.625,61,392,82,712,5438,5572,5435,5574,2,13,95
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,89.124,16,1500,1448,1448,0,48,14227.25,396,840,True,False,35.341,16,1500,1448,1425,638,48,23276.3125,52,448,65,741,5441,5562,5440,5564,1,13,46
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.622,16,1500,1448,1448,0,48,14410.5625,374,765,True,False,34.872,16,1500,1448,1425,777,48,23526.5625,55,422,64,696,5436,5558,5410,5560,1,13,93
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.992,16,1500,1448,1448,0,48,14212.5625,370,824,True,False,35.372,16,1500,1448,1424,697,48,23331.375,54,379,68,745,5447,5549,5445,5549,1,13,17
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,89.113,16,1500,1448,1448,0,48,14394.375,413,783,True,False,35.491,16,1500,1448,1425,749,48,23818.75,60,376,75,722,5438,5549,5429,5549,1,13,29
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.992,16,1500,1448,1448,0,48,14493.875,402,802,True,False,35.488,16,1500,1448,1424,684,48,23045.625,57,362,59,714,5450,5554,5450,5556,1,13,20
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.992,16,1500,1448,1448,0,48,14467.5625,424,816,True,False,34.996,16,1500,1448,1425,619,48,23634.375,60,366,79,737,5450,5570,5441,5572,1,13,31
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.744,16,1500,1448,1448,0,48,14278.125,393,805,True,False,35.095,16,1500,1448,1425,558,48,23519.5625,54,375,66,727,5437,5558,5436,5561,1,13,84
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.994,16,1500,1448,1448,0,48,14433.1875,383,795,True,False,35.997,16,1500,1448,1425,623,48,24873.6875,54,448,64,697,5439,5560,5436,5564,1,13,13
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.877,16,1500,1448,1448,0,48,14345.5625,399,822,True,False,35.866,16,1500,1448,1425,504,48,24046.3125,65,378,75,745,5447,5559,5432,5560,1,13,62
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.871,16,1500,1448,1448,0,48,14506.5625,386,785,True,False,35.248,16,1500,1448,1425,567,48,23469.6875,51,407,72,708,5445,5572,5445,5576,1,13,75
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.623,16,1500,1448,1448,0,48,14276.625,375,811,True,False,35.237,16,1500,1448,1424,761,48,23689.25,67,342,76,701,5422,5561,5420,5566,1,13,9
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,89.370,16,1500,1448,1448,0,48,14407.1875,422,832,True,False,35.724,16,1500,1448,1424,712,48,24077.75,68,341,80,762,5447,5557,5447,5558,1,14,44
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.872,16,1500,1448,1448,0,48,14457.625,420,788,True,False,35.238,16,1500,1448,1424,773,48,24468.125,42,444,49,710,5445,5559,5440,5562,1,13,48
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,89.739,16,1500,1448,1448,0,48,14810.3125,383,782,True,False,35.847,16,1500,1448,1425,565,48,23128.5625,68,426,100,720,5441,5560,5441,5562,2,13,99
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.868,16,1500,1448,1448,0,48,14366.25,370,798,True,False,35.122,16,1500,1448,1425,699,48,23487.25,81,395,92,735,5429,5551,5421,5553,2,13,56
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.874,16,1500,1448,1448,0,48,14541.625,401,802,True,False,35.092,16,1500,1448,1425,623,48,23898.9375,51,369,80,733,5442,5568,5436,5567,1,13,32
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.873,16,1500,1448,1448,0,48,14190.6875,384,848,True,False,35.490,16,1500,1448,1425,451,48,23121.625,86,391,121,795,5442,5566,5440,5564,2,14,78
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.997,16,1500,1448,1448,0,48,14366,384,799,True,False,35.219,16,1500,1448,1424,636,48,23908.1875,74,466,73,695,5439,5557,5436,5561,1,12,38
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.861,16,1500,1448,1448,0,48,14194.5625,421,849,True,False,35.358,16,1500,1448,1424,587,48,23918.4375,50,478,65,755,5437,5559,5428,5561,1,14,26
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.994,16,1500,1448,1448,0,48,14537.125,399,794,True,False,36.102,16,1500,1448,1425,628,48,23701.75,59,440,80,716,5430,5558,5415,5559,1,13,69
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.869,16,1500,1448,1448,0,48,14235.875,416,833,True,False,35.978,16,1500,1448,1424,739,48,23446.6875,66,413,71,736,5444,5551,5443,5552,1,13,34
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.997,16,1500,1448,1448,0,48,14382.1875,390,801,True,False,35.112,16,1500,1448,1425,695,48,23520.1875,49,349,60,709,5440,5549,5440,5552,1,13,58
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.747,16,1500,1448,1448,0,48,14349.75,404,761,True,False,36.103,16,1500,1448,1424,649,48,23484.5,76,432,89,703,5450,5568,5450,5571,2,13,30
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,89.111,16,1500,1448,1448,0,48,14469.9375,420,828,True,False,35.494,16,1500,1448,1424,634,48,24224.4375,59,406,82,748,5450,5562,5450,5565,2,13,70
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.616,16,1500,1448,1448,0,48,14363.625,414,811,True,False,35.106,16,1500,1448,1424,715,48,24235.9375,43,394,77,734,5444,5559,5443,5561,1,13,24
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.991,16,1500,1448,1448,0,48,14536.75,379,773,True,False,34.589,16,1500,1448,1423,601,48,24297.0625,55,444,81,694,5461,5563,5455,5560,1,12,52
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.865,16,1500,1448,1448,0,48,14473.5625,359,802,True,False,34.858,16,1500,1448,1425,712,48,23887.625,59,471,64,720,5444,5553,5443,5556,1,13,36
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,89.247,16,1500,1448,1448,0,48,14428.5625,364,796,True,False,34.374,16,1500,1448,1425,760,48,23290.75,58,334,73,718,5447,5563,5441,5564,1,13,2
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.996,16,1500,1448,1448,0,48,14203.375,403,804,True,False,35.498,16,1500,1448,1425,609,48,24366.375,74,335,86,722,5434,5558,5430,5560,2,13,5
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.742,16,1500,1448,1448,0,48,14328.125,385,834,True,False,35.243,16,1500,1448,1425,602,48,24050.125,53,420,70,748,5447,5566,5437,5568,1,13,89
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.493,16,1500,1448,1448,0,48,15147.75,338,711,True,False,35.841,16,1500,1448,1425,520,48,24079.9375,122,404,160,686,5454,5549,5453,5551,3,12,74
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.986,16,1500,1448,1448,0,48,14350.5,434,789,True,False,35.724,16,1500,1448,1424,708,48,23133.1875,56,468,72,706,5439,5549,5425,5551,1,13,91
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.988,16,1500,1448,1448,0,48,14372.1875,388,821,True,False,35.097,16,1500,1448,1425,660,48,22886.3125,53,395,73,752,5447,5556,5443,5558,1,14,53
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.613,16,1500,1448,1448,0,48,14264.5625,371,782,True,False,36.483,16,1500,1448,1425,691,48,23028.0625,43,407,49,701,5436,5553,5434,5556,1,13,21
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,89.325,16,1500,1448,1448,0,48,14498.375,431,764,True,False,34.355,16,1500,1448,1425,666,48,24181.8125,64,311,68,706,5456,5570,5457,5573,1,13,55
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.619,16,1500,1448,1448,0,48,14197.4375,405,833,True,False,35.110,16,1500,1448,1424,589,48,23227.5,56,422,75,745,5446,5559,5447,5561,1,13,27
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.742,16,1500,1448,1448,0,48,14336.1875,380,817,True,False,34.847,16,1500,1448,1424,656,48,23439.0625,47,431,64,721,5451,5557,5450,5560,1,13,77
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.998,16,1500,1448,1448,0,48,14418.9375,439,826,True,False,35.112,16,1500,1448,1425,617,48,23200.25,53,340,65,735,5446,5568,5455,5572,1,13,85
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,89.241,16,1500,1448,1448,0,48,14511.6875,379,802,True,False,35.980,16,1500,1448,1425,614,48,23400.5625,54,403,69,706,5442,5559,5442,5560,1,13,86
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.873,16,1500,1448,1448,0,48,14246.125,363,803,True,False,35.218,16,1500,1448,1425,473,48,23645.0625,71,401,88,731,5427,5541,5420,5543,2,13,18
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.489,16,1500,1448,1448,0,48,14942.5,368,733,True,False,36.124,16,1500,1448,1424,690,48,24554.625,70,381,81,680,5436,5549,5424,5550,1,12,22
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.802,16,1500,1448,1448,0,48,14195.3125,388,809,True,False,36.250,16,1500,1448,1424,668,48,24283,65,440,75,735,5444,5556,5438,5551,1,13,81
VDSL inp,100,40,5,5,1,1,8,4,16,100,90,0.05,5,20,5,True,True,88.871,16,1500,1448,1448,0,48,14478.875,406,810,True,False,35.114,16,1500,1448,1425,748,48,23626.8125,55,384,64,731,5433,5561,5427,5563,1,13,64
