exp_parameters,dl_capacity,ul_capacity,dl_delay,ul_delay,id,mad,mnp,mps,p,ptc,sdt,timeout,tmp,dl_stable_throughput,dl_stable_responsiveness,dl_throughput,dl_connections,dl_max_path_mtu,dl_max_send_mss,dl_max_recv_mss,dl_retransmissions,dl_reorder,dl_avg_rtt,dl_rpm_p,dl_rpm_trimmed,ul_stable_throughput,ul_stable_responsiveness,ul_throughput,ul_connections,ul_max_path_mtu,ul_max_send_mss,ul_max_recv_mss,ul_retransmissions,ul_reorder,ul_avg_rtt,ul_rpm_p,ul_rpm_trimmed,final_rpm_p,final_rpm_trimmed,ub_base_rpm_p,ub_base_rpm_trimmed,base_rpm_p,base_rpm_trimmed,wc_effect_p,wc_effect_trimmed,iteration
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.497,14,1500,1448,1448,0,45,15100,377,787,True,False,36.465,16,1500,1448,1424,236,48,23150.375,135,486,176,747,5442,5571,5442,5574,3,13,79
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.617,14,1500,1448,1448,0,45,15077.8,390,808,True,False,36.738,16,1500,1448,1425,86,48,23460.6875,157,470,199,765,5433,5563,5438,5561,4,14,50
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.865,16,1500,1448,1448,0,48,15072,346,738,True,False,34.984,16,1500,1448,1424,147,48,23492.6875,76,517,158,666,5443,5566,5453,5568,3,12,23
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.498,13,1500,1448,1448,0,42,14773.214285714286,417,847,True,False,35.092,16,1500,1448,1424,69,48,24039.4375,143,546,176,748,5448,5577,5457,5579,3,13,68
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.495,14,1500,1448,1448,0,42,14529.5,409,826,True,False,35.616,16,1500,1448,1424,126,49,23793.9375,155,508,185,766,5447,5574,5454,5577,3,14,92
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.614,15,1500,1448,1448,0,48,15000.9375,374,810,True,False,36.998,16,1500,1448,1424,233,48,23465.75,+Inf,NaN,353,797,5444,5553,5444,5553,6,14,95
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.624,15,1500,1448,1448,0,48,15095.9375,370,829,False,False,33.965,16,1500,1448,1425,459,48,24384.9375,145,440,133,716,5445,5574,5449,5576,2,13,46
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.365,16,1500,1448,1448,0,48,14811.375,365,711,True,False,36.467,16,1500,1448,1425,212,48,23752.75,130,470,219,677,5433,5562,5450,5564,4,12,93
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,False,89.872,16,1500,1448,1448,0,48,15484.875,365,654,True,False,35.874,16,1500,1448,1425,261,48,22755.3125,101,519,119,621,5454,5581,5463,5584,2,11,17
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.745,16,1500,1448,1448,0,48,15154.125,362,751,True,False,37.240,16,1500,1448,1424,235,48,23953.3125,172,544,188,687,5436,5570,5439,5573,3,12,29
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.495,16,1500,1448,1448,0,48,14878.375,379,804,True,False,35.496,16,1500,1448,1424,146,48,23933.3125,128,491,165,737,5454,5561,5462,5562,3,13,20
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.496,16,1500,1448,1448,0,48,15193.9375,383,740,True,False,36.227,16,1500,1448,1424,190,48,23538.625,81,489,152,691,5436,5577,5438,5580,3,12,31
VDSL mps,100,40,5,5,1,4,16,60,90,.05,5,20,5,True,True,89.739,13,1500,1448,1448,0,42,14579.714285714286,429,834,True,False,36.599,16,1500,1448,1425,167,48,24065.3125,123,510,163,750,5439,5578,5443,5581,3,13,84
