exp_parameters,dl_capacity,ul_capacity,dl_delay,ul_delay,id,mad,mnp,mps,p,ptc,sdt,timeout,tmp,dl_stable_throughput,dl_stable_responsiveness,dl_throughput,dl_connections,dl_max_path_mtu,dl_max_send_mss,dl_max_recv_mss,dl_retransmissions,dl_reorder,dl_avg_rtt,dl_rpm_p,dl_rpm_trimmed,ul_stable_throughput,ul_stable_responsiveness,ul_throughput,ul_connections,ul_max_path_mtu,ul_max_send_mss,ul_max_recv_mss,ul_retransmissions,ul_reorder,ul_avg_rtt,ul_rpm_p,ul_rpm_trimmed,final_rpm_p,final_rpm_trimmed,ub_base_rpm_p,ub_base_rpm_trimmed,base_rpm_p,base_rpm_trimmed,wc_effect_p,wc_effect_trimmed,iteration
VDSL,100,40,5,5,1,4,16,100,90,.05,5,20,5,True,True,88.985,16,1500,1448,1448,0,48,15670.75,322,635,True,False,34.994,16,1500,1448,1425,503,48,23233.125,97,383,100,601,4972,5109,4966,5096,2,12,1
VDSL,100,40,5,5,1,4,16,100,90,.05,5,20,5,True,True,89.231,16,1500,1448,1448,0,48,15652.375,336,623,True,False,34.242,16,1500,1448,1425,592,48,24143.125,94,400,83,596,4968,5155,4971,5168,2,12,2
VDSL,100,40,5,5,1,4,16,100,90,.05,5,20,5,True,False,89.128,16,1500,1448,1448,0,48,15739.125,331,609,True,False,36.859,16,1500,1448,1425,610,48,22473.75,78,431,120,734,4971,5179,4980,5132,2,14,3
VDSL,100,40,5,5,1,4,16,100,90,.05,5,20,5,True,True,88.873,16,1500,1448,1448,0,48,15618.1875,307,605,True,False,34.604,16,1500,1448,1425,621,48,23312.125,86,514,83,615,4983,5185,4996,5184,2,12,4
VDSL,100,40,5,5,1,4,16,100,90,.05,5,20,5,True,True,88.873,16,1500,1448,1448,0,48,15590.75,341,621,True,False,34.339,16,1500,1448,1425,577,48,22373.75,78,422,97,578,4973,5179,4970,5199,2,11,5
VDSL,100,40,5,5,1,4,16,100,90,.05,5,20,5,True,True,88.748,16,1500,1448,1448,0,48,15492.6875,357,677,True,False,34.969,16,1500,1448,1424,563,48,23051.0625,110,415,110,610,4974,5230,4975,5247,2,12,6
VDSL,100,40,5,5,1,4,16,100,90,.05,5,20,5,True,True,88.807,11,1500,1448,1448,0,36,15116.75,386,814,True,False,34.962,16,1500,1448,1425,643,48,23333.3125,94,396,95,735,4966,5124,4966,5131,2,14,7
VDSL,100,40,5,5,1,4,16,100,90,.05,5,20,5,True,False,88.749,16,1500,1448,1448,0,48,15724.75,305,598,True,False,35.983,16,1500,1448,1425,578,48,22772.625,94,433,202,746,4969,5121,4965,5125,4,15,8
VDSL,100,40,5,5,1,4,16,100,90,.05,5,20,5,True,True,88.989,11,1500,1448,1448,0,36,15050.25,405,806,True,False,34.979,16,1500,1448,1425,752,48,22911.0625,70,374,83,739,4964,5323,4970,5355,2,14,9
VDSL,100,40,5,5,1,4,16,100,90,.05,5,20,5,True,True,88.613,10,1500,1448,1448,0,33,14555.09090909091,448,781,True,False,34.241,16,1500,1448,1424,716,48,23281.8125,63,372,101,731,4971,5123,4976,5130,2,14,10
